sample,fastq_1,fastq_2
DRX045876,https://ddbj.nig.ac.jp/public/ddbj_database/dra/fastq/DRA004/DRA004264/DRX045876/DRR050984_1.fastq.bz2,https://ddbj.nig.ac.jp/public/ddbj_database/dra/fastq/DRA004/DRA004264/DRX045876/DRR050984_2.fastq.bz2
DRX045877,https://ddbj.nig.ac.jp/public/ddbj_database/dra/fastq/DRA004/DRA004264/DRX045877/DRR050985_1.fastq.bz2,https://ddbj.nig.ac.jp/public/ddbj_database/dra/fastq/DRA004/DRA004264/DRX045877/DRR050985_2.fastq.bz2
